0 2
0.01 2.0101
0.02 2.0203
0.03 2.0306
0.04 2.041
0.05 2.0515
0.06 2.0621
0.07 2.0728
0.08 2.0836
0.09 2.0945
0.1 2.1055
0.11 2.1166
0.12 2.1278
0.13 2.1391
0.14 2.1505
0.15 2.162
0.16 2.1736
0.17 2.1853
0.18 2.1971
0.19 2.209
0.2 2.221
0.21 2.2331
0.22 2.2453
0.23 2.2576
0.24 2.27
0.25 2.2825
0.26 2.2951
0.27 2.3078
0.28 2.3206
0.29 2.3335
0.3 2.3465
0.31 2.3596
0.32 2.3728
0.33 2.3861
0.34 2.3995
0.35 2.413
0.36 2.4266
0.37 2.4403
0.38 2.4541
0.39 2.468
0.4 2.482
0.41 2.4961
0.42 2.5103
0.43 2.5246
0.44 2.539
0.45 2.5535
0.46 2.5681
0.47 2.5828
0.48 2.5976
0.49 2.6125
0.5 2.6275
0.51 2.6426
0.52 2.6578
0.53 2.6731
0.54 2.6885
0.55 2.704
0.56 2.7196
0.57 2.7353
0.58 2.7511
0.59 2.767
0.6 2.783
0.61 2.7991
0.62 2.8153
0.63 2.8316
0.64 2.848
0.65 2.8645
0.66 2.8811
0.67 2.8978
0.68 2.9146
0.69 2.9315
0.7 2.9485
0.71 2.9656
0.72 2.9828
0.73 3.0001
0.74 3.0175
0.75 3.035
0.76 3.0526
0.77 3.0703
0.78 3.0881
0.79 3.106
0.8 3.124
0.81 3.1421
0.82 3.1603
0.83 3.1786
0.84 3.197
0.85 3.2155
0.86 3.2341
0.87 3.2528
0.88 3.2716
0.89 3.2905
0.9 3.3095
0.91 3.3286
0.92 3.3478
0.93 3.3671
0.94 3.3865
0.95 3.406
0.96 3.4256
0.97 3.4453
0.98 3.4651
0.99 3.485
1 3.505
