N err_left err_right err_midpoint err_trapezoid err_Simpsons
4 1.865313283946e+01 4.154199821788e+01 5.417942812589e+00 1.144443268921e+01 5.775974523352e-01
10 1.009818669106e+01 1.397986573188e+01 9.620587020004e-01 1.940839520411e+00 7.968130963840e+00
24 4.676108092298e+00 5.356413750592e+00 1.698215373433e-01 3.401528291470e-01 5.095238582003e+00
50 2.329313509231e+00 2.486296975356e+00 3.923231174978e-02 7.849173306222e-02 2.781386988188e+00
100 1.184272910491e+00 1.223532331803e+00 9.814007805190e-03 1.962971065622e-02 1.468968707619e+00
250 4.784199909985e-01 4.847021059189e-01 1.570507031015e-03 3.141057460212e-03 6.064206407568e-01
500 2.399952490148e-01 2.415657994440e-01 3.926362510853e-04 7.852752146000e-04 3.063510306761e-01
1000 1.201939426329e-01 1.205865815964e-01 9.815965612248e-05 1.963194817591e-04 1.539607688535e-01
5000 2.407019963500e-02 2.408590521087e-02 3.926393812748e-06 7.852787938134e-06 3.091779766614e-02
10000 1.203706301439e-02 1.204098940854e-02 9.815985073658e-07 1.963197075128e-06 1.546675161888e-02
